epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,727.388,1.17276,0.90283,1.06327,0.82133,0.67865,0.7508,0.43506,1.51385,1.04607,1.26364,0.000432048,0.000432048,0.000432048
55,741.082,1.17346,0.86778,1.06967,0.74934,0.70937,0.74402,0.45256,1.46758,1.06754,1.23941,0.000423049,0.000423049,0.000423049
56,755.054,1.17514,0.85742,1.06248,0.80529,0.66256,0.73696,0.44269,1.49994,1.12261,1.24467,0.000414049,0.000414049,0.000414049
57,767.609,1.16967,0.86462,1.05417,0.76762,0.7173,0.76132,0.44951,1.46738,1.06394,1.23841,0.00040505,0.00040505,0.00040505
58,779.67,1.14549,0.8478,1.059,0.75059,0.69949,0.74053,0.43616,1.49094,1.05085,1.24792,0.000396051,0.000396051,0.000396051
59,794.019,1.17007,0.84865,1.06401,0.80115,0.68214,0.75673,0.44477,1.49877,1.0477,1.25539,0.000387052,0.000387052,0.000387052
60,808.191,1.15141,0.84207,1.0566,0.8098,0.70599,0.75661,0.46436,1.44079,1.0222,1.233,0.000378053,0.000378053,0.000378053
61,820.626,1.14031,0.8282,1.05021,0.8133,0.70651,0.75903,0.4578,1.47332,1.04982,1.23922,0.000369054,0.000369054,0.000369054
62,832.978,1.14994,0.83561,1.03788,0.79505,0.71059,0.75969,0.45512,1.46303,1.0653,1.24032,0.000360055,0.000360055,0.000360055
63,847.003,1.13554,0.83602,1.05702,0.79161,0.7263,0.76132,0.45066,1.49657,1.04223,1.25422,0.000351056,0.000351056,0.000351056
64,861.066,1.13579,0.8101,1.04523,0.80474,0.72663,0.77019,0.45715,1.4668,1.04131,1.23085,0.000342057,0.000342057,0.000342057
65,874.672,1.13349,0.81999,1.04335,0.80351,0.71552,0.76892,0.45873,1.46363,1.02458,1.23403,0.000333058,0.000333058,0.000333058
66,886.042,1.09273,0.79835,1.01897,0.77938,0.73378,0.77414,0.46433,1.4445,0.99747,1.21575,0.000324058,0.000324058,0.000324058
67,899.511,1.14213,0.78613,1.03948,0.79148,0.71441,0.77483,0.46876,1.45358,0.98968,1.2288,0.000315059,0.000315059,0.000315059
68,913.582,1.11427,0.79576,1.03368,0.79018,0.70651,0.76294,0.45073,1.48439,1.01682,1.25333,0.00030606,0.00030606,0.00030606
69,927.571,1.11608,0.78979,1.03333,0.786,0.7233,0.77227,0.46231,1.47239,1.00206,1.23851,0.000297061,0.000297061,0.000297061
70,938.698,1.11026,0.78997,1.03034,0.78935,0.69316,0.76037,0.45621,1.47592,1.01902,1.24099,0.000288062,0.000288062,0.000288062
71,951.812,1.07225,0.77013,1.02164,0.80796,0.69515,0.76787,0.47149,1.46465,0.99202,1.23193,0.000279063,0.000279063,0.000279063
